model,step,seed,entropy_bits
Gemini 2.0 Flash,1,10,4.644
Gemini 2.0 Flash,2,1,4.282
Gemini 2.0 Flash,2,2,4.17
Gemini 2.0 Flash,2,3,4.097
Gemini 2.0 Flash,2,4,4.336
Gemini 2.0 Flash,2,5,4.074
Gemini 2.0 Flash,2,6,4.404
Gemini 2.0 Flash,2,7,4.094
Gemini 2.0 Flash,2,8,4.189
Gemini 2.0 Flash,2,9,4.328
Gemini 2.0 Flash,2,10,4.211
Gemini 2.0 Flash,3,1,3.616
Gemini 2.0 Flash,3,2,3.62
Gemini 2.0 Flash,3,3,3.441
Gemini 2.0 Flash,3,4,3.571
Gemini 2.0 Flash,3,5,3.704
Gemini 2.0 Flash,3,6,3.504
Gemini 2.0 Flash,3,7,3.584
Gemini 2.0 Flash,3,8,3.468
Gemini 2.0 Flash,3,9,3.668
Gemini 2.0 Flash,3,10,3.391
Gemini 2.0 Flash,4,1,3.058
Gemini 2.0 Flash,4,2,3.011
Gemini 2.0 Flash,4,3,2.93
Gemini 2.0 Flash,4,4,2.915
Gemini 2.0 Flash,4,5,2.849
Gemini 2.0 Flash,4,6,2.622
Gemini 2.0 Flash,4,7,2.656
Gemini 2.0 Flash,4,8,2.926
Gemini 2.0 Flash,4,9,2.859
Gemini 2.0 Flash,4,10,3.048
Gemini 2.0 Flash,5,1,2.461
Gemini 2.0 Flash,5,2,2.264
Gemini 2.0 Flash,5,3,2.406
Gemini 2.0 Flash,5,4,2.254
Gemini 2.0 Flash,5,5,2.417
Gemini 2.0 Flash,5,6,2.389
Gemini 2.0 Flash,5,7,2.34
Gemini 2.0 Flash,5,8,2.452
Gemini 2.0 Flash,5,9,2.431
Gemini 2.0 Flash,5,10,2.56
Gemini 2.0 Flash,6,1,1.538
Gemini 2.0 Flash,6,2,1.599
Gemini 2.0 Flash,6,3,1.574
Gemini 2.0 Flash,6,4,1.643
Gemini 2.0 Flash,6,5,1.454
Gemini 2.0 Flash,6,6,1.601
Gemini 2.0 Flash,6,7,1.477
Gemini 2.0 Flash,6,8,1.67
Gemini 2.0 Flash,6,9,1.592
Gemini 2.0 Flash,6,10,1.71
Gemini 2.0 Flash,7,1,1.068
Gemini 2.0 Flash,7,2,1.046
Gemini 2.0 Flash,7,3,1.039
Gemini 2.0 Flash,7,4,1.05
Gemini 2.0 Flash,7,5,1.045
Gemini 2.0 Flash,7,6,1.058
Gemini 2.0 Flash,7,7,0.966
Gemini 2.0 Flash,7,8,0.959
Gemini 2.0 Flash,7,9,0.961
Gemini 2.0 Flash,7,10,1.009
Claude Haiku 4.5,1,1,4.644
Claude Haiku 4.5,1,2,4.644
Claude Haiku 4.5,1,3,4.644
Claude Haiku 4.5,1,4,4.644
Claude Haiku 4.5,1,5,4.644
Claude Haiku 4.5,1,6,4.644
Claude Haiku 4.5,1,7,4.644
Claude Haiku 4.5,1,8,4.644
Claude Haiku 4.5,1,9,4.644
Claude Haiku 4.5,1,10,4.644
Claude Haiku 4.5,2,1,4.085
Claude Haiku 4.5,2,2,4.194
Claude Haiku 4.5,2,3,4.128
Claude Haiku 4.5,2,4,3.97
Claude Haiku 4.5,2,5,4.226
Claude Haiku 4.5,2,6,4.104
Claude Haiku 4.5,2,7,4.126
Claude Haiku 4.5,2,8,4.088
Claude Haiku 4.5,2,9,4.171
Claude Haiku 4.5,2,10,4.048
Claude Haiku 4.5,3,1,3.378
Claude Haiku 4.5,3,2,3.466
Claude Haiku 4.5,3,3,3.236
Claude Haiku 4.5,3,4,3.283
Claude Haiku 4.5,3,5,3.469
Claude Haiku 4.5,3,6,3.614
Claude Haiku 4.5,3,7,3.316
Claude Haiku 4.5,3,8,3.196
Claude Haiku 4.5,3,9,3.345
Claude Haiku 4.5,3,10,3.543
Claude Haiku 4.5,4,1,2.523
Claude Haiku 4.5,4,2,2.292
Claude Haiku 4.5,4,3,2.377
Claude Haiku 4.5,4,4,2.534
Claude Haiku 4.5,4,5,2.497
Claude Haiku 4.5,4,6,2.67
Claude Haiku 4.5,4,7,2.588
Claude Haiku 4.5,4,8,2.412
Claude Haiku 4.5,4,9,2.74
Claude Haiku 4.5,4,10,2.565
Claude Haiku 4.5,5,1,1.762
Claude Haiku 4.5,5,2,1.877
Claude Haiku 4.5,5,3,1.949
Claude Haiku 4.5,5,4,2.136
Claude Haiku 4.5,5,5,1.955
Claude Haiku 4.5,5,6,2.222
Claude Haiku 4.5,5,7,1.737
Claude Haiku 4.5,5,8,2.04
Claude Haiku 4.5,5,9,2.042
Claude Haiku 4.5,5,10,2.097
Claude Haiku 4.5,6,1,1.588
Claude Haiku 4.5,6,2,1.758
Claude Haiku 4.5,6,3,1.494
Claude Haiku 4.5,6,4,1.411
Claude Haiku 4.5,6,5,1.553
Claude Haiku 4.5,6,6,1.532
Claude Haiku 4.5,6,7,1.583
Claude Haiku 4.5,6,8,1.609
Claude Haiku 4.5,6,9,1.493
Claude Haiku 4.5,6,10,1.63
Claude Haiku 4.5,7,1,1.004
Claude Haiku 4.5,7,2,0.98
Claude Haiku 4.5,7,3,1.042
Claude Haiku 4.5,7,4,1.062
Claude Haiku 4.5,7,5,0.972
Claude Haiku 4.5,7,6,1.062
Claude Haiku 4.5,7,7,0.992
Claude Haiku 4.5,7,8,1.004
Claude Haiku 4.5,7,9,0.995
Claude Haiku 4.5,7,10,0.995
Oracle,1,1,4.644
Oracle,1,2,4.644
Oracle,1,3,4.644
Oracle,1,4,4.644
Oracle,1,5,4.644
Oracle,1,6,4.644
Oracle,1,7,4.644
Oracle,1,8,4.644
Oracle,1,9,4.644
Oracle,1,10,4.644
Oracle,2,1,3.569
Oracle,2,2,3.581
Oracle,2,3,3.585
Oracle,2,4,3.566
Oracle,2,5,3.674
Oracle,2,6,3.583
Oracle,2,7,3.56
Oracle,2,8,3.55
Oracle,2,9,3.654
Oracle,2,10,3.566
Oracle,3,1,2.75
Oracle,3,2,2.855
Oracle,3,3,2.779
Oracle,3,4,2.778
Oracle,3,5,2.782
Oracle,3,6,2.803
Oracle,3,7,2.659
Oracle,3,8,2.837
Oracle,3,9,2.768
Oracle,3,10,2.724
Oracle,4,1,1.401
Oracle,4,2,1.67
Oracle,4,3,1.461
Oracle,4,4,1.557
Oracle,4,5,1.601
Oracle,4,6,1.523
Oracle,4,7,1.532
Oracle,4,8,1.668
Oracle,4,9,1.505
Oracle,4,10,1.518
Oracle,5,1,0.88
Oracle,5,2,1.018
Oracle,5,3,1.043
Oracle,5,4,0.986
Oracle,5,5,0.971
Oracle,5,6,0.989
Oracle,5,7,0.891
Oracle,5,8,0.949
Oracle,5,9,1.185
Oracle,5,10,0.967
Oracle,6,1,1.076
Oracle,6,2,1.069
Oracle,6,3,1.032
Oracle,6,4,1.004
Oracle,6,5,1.033
Oracle,6,6,1.015
Oracle,6,7,1.062
Oracle,6,8,0.885
Oracle,6,9,1.025
Oracle,6,10,1.011
Oracle,7,1,1.007
Oracle,7,2,1.063
Oracle,7,3,1.025
Oracle,7,4,1.008
Oracle,7,5,1.019
Oracle,7,6,1.037
Oracle,7,7,1.006
Oracle,7,8,1.022
Oracle,7,9,0.921
Oracle,7,10,0.932
