model,step,seed,entropy_bits
Gemini 2.0 Flash,1,3,4.644
Gemini 2.0 Flash,1,4,4.644
Gemini 2.0 Flash,1,5,4.644
Gemini 2.0 Flash,1,6,4.644
Gemini 2.0 Flash,1,7,4.644
Gemini 2.0 Flash,1,8,4.644
Gemini 2.0 Flash,1,9,4.644
Gemini 2.0 Flash,1,10,4.644
Gemini 2.0 Flash,2,1,4.272
Gemini 2.0 Flash,2,2,4.269
Gemini 2.0 Flash,2,3,4.212
Gemini 2.0 Flash,2,4,4.313
Gemini 2.0 Flash,2,5,4.319
Gemini 2.0 Flash,2,6,4.325
Gemini 2.0 Flash,2,7,4.393
Gemini 2.0 Flash,2,8,4.261
Gemini 2.0 Flash,2,9,4.108
Gemini 2.0 Flash,2,10,4.214
Gemini 2.0 Flash,3,1,3.572
Gemini 2.0 Flash,3,2,3.519
Gemini 2.0 Flash,3,3,3.549
Gemini 2.0 Flash,3,4,3.815
Gemini 2.0 Flash,3,5,3.47
Gemini 2.0 Flash,3,6,3.301
Gemini 2.0 Flash,3,7,3.621
Gemini 2.0 Flash,3,8,3.588
Gemini 2.0 Flash,3,9,3.573
Gemini 2.0 Flash,3,10,3.739
Gemini 2.0 Flash,4,1,2.982
Gemini 2.0 Flash,4,2,2.969
Gemini 2.0 Flash,4,3,2.867
Gemini 2.0 Flash,4,4,3.412
Gemini 2.0 Flash,4,5,3.03
Gemini 2.0 Flash,4,6,3.239
Gemini 2.0 Flash,4,7,3.245
Gemini 2.0 Flash,4,8,2.908
Gemini 2.0 Flash,4,9,2.98
Gemini 2.0 Flash,4,10,3.018
Gemini 2.0 Flash,5,1,2.262
Gemini 2.0 Flash,5,2,2.198
Gemini 2.0 Flash,5,3,2.501
Gemini 2.0 Flash,5,4,2.411
Gemini 2.0 Flash,5,5,2.114
Gemini 2.0 Flash,5,6,2.136
Gemini 2.0 Flash,5,7,2.419
Gemini 2.0 Flash,5,8,2.435
Gemini 2.0 Flash,5,9,2.058
Gemini 2.0 Flash,5,10,2.093
Gemini 2.0 Flash,6,1,1.085
Gemini 2.0 Flash,6,2,1.151
Gemini 2.0 Flash,6,3,1.195
Gemini 2.0 Flash,6,4,1.103
Gemini 2.0 Flash,6,5,1.421
Gemini 2.0 Flash,6,6,1.215
Gemini 2.0 Flash,6,7,1.238
Gemini 2.0 Flash,6,8,1.247
Gemini 2.0 Flash,6,9,1.105
Gemini 2.0 Flash,6,10,1.202
Gemini 2.0 Flash,7,1,0.0
Gemini 2.0 Flash,7,2,0.106
Gemini 2.0 Flash,7,3,0.039
Gemini 2.0 Flash,7,4,0.0
Gemini 2.0 Flash,7,5,0.0
Gemini 2.0 Flash,7,6,0.004
Gemini 2.0 Flash,7,7,0.045
Gemini 2.0 Flash,7,8,0.018
Gemini 2.0 Flash,7,9,0.01
Gemini 2.0 Flash,7,10,0.0
Gemini 2.0 Flash,8,1,0.0
Gemini 2.0 Flash,8,2,0.0
Gemini 2.0 Flash,8,3,0.044
Gemini 2.0 Flash,8,4,0.029
Gemini 2.0 Flash,8,5,0.0
Gemini 2.0 Flash,8,6,0.0
Gemini 2.0 Flash,8,7,0.0
Gemini 2.0 Flash,8,8,0.002
Gemini 2.0 Flash,8,9,0.0
Gemini 2.0 Flash,8,10,0.001
Claude Haiku 4.5,1,1,4.644
Claude Haiku 4.5,1,2,4.644
Claude Haiku 4.5,1,3,4.644
Claude Haiku 4.5,1,4,4.644
Claude Haiku 4.5,1,5,4.644
Claude Haiku 4.5,1,6,4.644
Claude Haiku 4.5,1,7,4.644
Claude Haiku 4.5,1,8,4.644
Claude Haiku 4.5,1,9,4.644
Claude Haiku 4.5,1,10,4.644
Claude Haiku 4.5,2,1,4.348
Claude Haiku 4.5,2,2,4.419
Claude Haiku 4.5,2,3,4.518
Claude Haiku 4.5,2,4,4.644
Claude Haiku 4.5,2,5,4.644
Claude Haiku 4.5,2,6,4.319
Claude Haiku 4.5,2,7,4.451
Claude Haiku 4.5,2,8,4.644
Claude Haiku 4.5,2,9,4.315
Claude Haiku 4.5,2,10,4.566
Claude Haiku 4.5,3,1,4.169
Claude Haiku 4.5,3,2,4.418
Claude Haiku 4.5,3,3,3.736
Claude Haiku 4.5,3,4,4.435
Claude Haiku 4.5,3,5,3.969
Claude Haiku 4.5,3,6,4.121
Claude Haiku 4.5,3,7,4.107
Claude Haiku 4.5,3,8,4.133
Claude Haiku 4.5,3,9,4.108
Claude Haiku 4.5,3,10,4.297
Claude Haiku 4.5,4,1,3.947
Claude Haiku 4.5,4,2,4.006
Claude Haiku 4.5,4,3,3.696
Claude Haiku 4.5,4,4,3.97
Claude Haiku 4.5,4,5,3.673
Claude Haiku 4.5,4,6,4.091
Claude Haiku 4.5,4,7,3.907
Claude Haiku 4.5,4,8,4.027
Claude Haiku 4.5,4,9,4.005
Claude Haiku 4.5,4,10,3.581
Claude Haiku 4.5,5,1,2.547
Claude Haiku 4.5,5,2,2.431
Claude Haiku 4.5,5,3,2.814
Claude Haiku 4.5,5,4,2.664
Claude Haiku 4.5,5,5,2.518
Claude Haiku 4.5,5,6,2.502
Claude Haiku 4.5,5,7,2.581
Claude Haiku 4.5,5,8,2.225
Claude Haiku 4.5,5,9,2.454
Claude Haiku 4.5,5,10,2.836
Claude Haiku 4.5,6,1,0.965
Claude Haiku 4.5,6,2,1.066
Claude Haiku 4.5,6,3,1.098
Claude Haiku 4.5,6,4,1.042
Claude Haiku 4.5,6,5,1.065
Claude Haiku 4.5,6,6,0.904
Claude Haiku 4.5,6,7,1.053
Claude Haiku 4.5,6,8,1.119
Claude Haiku 4.5,6,9,1.126
Claude Haiku 4.5,6,10,0.839
Claude Haiku 4.5,7,1,0.109
Claude Haiku 4.5,7,2,0.0
Claude Haiku 4.5,7,3,0.08
Claude Haiku 4.5,7,4,0.074
Claude Haiku 4.5,7,5,0.0
Claude Haiku 4.5,7,6,0.001
Claude Haiku 4.5,7,7,0.053
Claude Haiku 4.5,7,8,0.0
Claude Haiku 4.5,7,9,0.0
Claude Haiku 4.5,7,10,0.084
Claude Haiku 4.5,8,1,0.0
Claude Haiku 4.5,8,2,0.0
Claude Haiku 4.5,8,3,0.0
Claude Haiku 4.5,8,4,0.006
Claude Haiku 4.5,8,5,0.024
Claude Haiku 4.5,8,6,0.087
Claude Haiku 4.5,8,7,0.068
Claude Haiku 4.5,8,8,0.004
Claude Haiku 4.5,8,9,0.0
Claude Haiku 4.5,8,10,0.0
Oracle,1,1,4.644
Oracle,1,2,4.644
Oracle,1,3,4.644
Oracle,1,4,4.644
Oracle,1,5,4.644
Oracle,1,6,4.644
Oracle,1,7,4.644
Oracle,1,8,4.644
Oracle,1,9,4.644
Oracle,1,10,4.644
Oracle,2,1,4.03
Oracle,2,2,3.978
Oracle,2,3,3.988
Oracle,2,4,3.936
Oracle,2,5,3.927
Oracle,2,6,4.005
Oracle,2,7,4.009
Oracle,2,8,3.934
Oracle,2,9,3.96
Oracle,2,10,3.996
Oracle,3,1,2.939
Oracle,3,2,2.925
Oracle,3,3,2.993
Oracle,3,4,2.91
Oracle,3,5,3.075
Oracle,3,6,3.047
Oracle,3,7,3.011
Oracle,3,8,2.997
Oracle,3,9,2.941
Oracle,3,10,3.02
Oracle,4,1,1.926
Oracle,4,2,1.912
Oracle,4,3,2.109
Oracle,4,4,1.886
Oracle,4,5,2.064
Oracle,4,6,2.056
Oracle,4,7,2.028
Oracle,4,8,2.063
Oracle,4,9,2.039
Oracle,4,10,2.081
Oracle,5,1,1.082
Oracle,5,2,1.019
Oracle,5,3,0.988
Oracle,5,4,0.981
Oracle,5,5,1.016
Oracle,5,6,0.934
Oracle,5,7,1.014
Oracle,5,8,1.018
Oracle,5,9,0.961
Oracle,5,10,0.983
Oracle,6,1,0.0
Oracle,6,2,0.0
Oracle,6,3,0.0
Oracle,6,4,0.0
Oracle,6,5,0.0
Oracle,6,6,0.0
Oracle,6,7,0.0
Oracle,6,8,0.0
Oracle,6,9,0.0
Oracle,6,10,0.0
Oracle,7,1,0.0
Oracle,7,2,0.0
Oracle,7,3,0.0
Oracle,7,4,0.0
Oracle,7,5,0.0
Oracle,7,6,0.0
Oracle,7,7,0.0
Oracle,7,8,0.0
Oracle,7,9,0.0
Oracle,7,10,0.0
Oracle,8,1,0.0
Oracle,8,2,0.0
Oracle,8,3,0.0
Oracle,8,4,0.0
Oracle,8,5,0.0
Oracle,8,6,0.0
Oracle,8,7,0.0
Oracle,8,8,0.0
Oracle,8,9,0.0
Oracle,8,10,0.0
